# Percorso di lettura: le potenze che formano il mondo di oggi, i grandi imperi
# e gli eventi che li hanno plasmati.
#
# Formato: sezione <TAB> titolo mostrato <TAB> percorso nell'archivio ZIM.
# Righe vuote e righe che iniziano con # sono ignorate.
#
# Validare dopo ogni modifica:
#   ./build/linux/sandbox check_list <archivio.zim> resources/reading_list.tsv

Roma e il Mediterraneo	Antica Roma	Civiltà_romana
Roma e il Mediterraneo	Repubblica romana	Repubblica_romana
Roma e il Mediterraneo	Impero romano	Impero_romano
Roma e il Mediterraneo	Guerre puniche	Guerre_puniche
Roma e il Mediterraneo	Cartagine	Cartagine
Roma e il Mediterraneo	Gaio Giulio Cesare	Gaio_Giulio_Cesare
Roma e il Mediterraneo	Augusto	Augusto
Roma e il Mediterraneo	Pax romana	Pax_romana
Roma e il Mediterraneo	Diocleziano	Diocleziano
Roma e il Mediterraneo	Costantino I	Costantino_I
Roma e il Mediterraneo	Caduta dell'Impero romano d'Occidente	Caduta_dell'Impero_romano_d'Occidente
Roma e il Mediterraneo	Impero bizantino	Impero_bizantino

Grecia e Persia	Antica Grecia	Antica_Grecia
Grecia e Persia	Atene	Atene
Grecia e Persia	Sparta	Sparta
Grecia e Persia	Guerre persiane	Guerre_persiane
Grecia e Persia	Guerra del Peloponneso	Guerra_del_Peloponneso
Grecia e Persia	Impero achemenide	Impero_achemenide
Grecia e Persia	Alessandro Magno	Alessandro_Magno
Grecia e Persia	Ellenismo	Ellenismo

Cina imperiale	Storia della Cina	Storia_della_Cina
Cina imperiale	Qin Shi Huang	Qin_Shi_Huang
Cina imperiale	Dinastia Han	Dinastia_Han
Cina imperiale	Dinastia Tang	Dinastia_Tang
Cina imperiale	Dinastia Song	Dinastia_Song
Cina imperiale	Dinastia Ming	Dinastia_Ming
Cina imperiale	Dinastia Qing	Dinastia_Qing
Cina imperiale	Via della seta	Via_della_seta
Cina imperiale	Guerre dell'oppio	Guerre_dell'oppio
Cina imperiale	Mao Zedong	Mao_Zedong
Cina imperiale	Rivoluzione culturale	Rivoluzione_culturale
Cina imperiale	Repubblica Popolare Cinese	Cina

India e Asia meridionale	Storia dell'India	Storia_dell'India
India e Asia meridionale	Impero Maurya	Impero_Maurya
India e Asia meridionale	Impero Gupta	Impero_Gupta
India e Asia meridionale	Impero Moghul	Impero_Moghul
India e Asia meridionale	Compagnia britannica delle Indie orientali	Compagnia_britannica_delle_Indie_orientali
India e Asia meridionale	Raj britannico	Impero_anglo-indiano
India e Asia meridionale	Mohandas Karamchand Gandhi	Mahatma_Gandhi
India e Asia meridionale	Jawaharlal Nehru	Jawaharlal_Nehru
India e Asia meridionale	Pakistan	Pakistan

Mondo islamico	Islam	Islam
Mondo islamico	Maometto	Maometto
Mondo islamico	Califfato	Califfato
Mondo islamico	Califfato omayyade	Califfato_omayyade
Mondo islamico	Califfato abbaside	Califfato_abbaside
Mondo islamico	Al-Andalus	Al-Andalus
Mondo islamico	Impero ottomano	Impero_ottomano
Mondo islamico	Caduta di Costantinopoli	Assedio_di_Costantinopoli_(1453)
